source,target
인적 담보,사람의 신용을 담보로 활용하는 것
증빙서류,거래나 계약을 증명해 주는 서류
계좌,돈을 넣거나 찾을 수 있도록 은행이 만들어 주는 나의 통장
출금,내 계좌에서 돈을 찾는 것
비밀번호,계좌나 카드를 지키기 위해 설정한 숫자
가산금리,기본 금리에 더 붙는 추가 이자율
변동금리,시장에 따라 이자율이 오르내리는 금리
부분상환금액,필요할 때 일부만 갚는 금액
피싱,가짜 문자·이메일로 개인정보를 빼가는 사기
자동납부,매달 돈을 자동으로 내도록 설정하는 것
수수료,은행이 서비스 대가로 받는 비용
이자율 최고한도,은행이 정해 놓은 이자율 최고 범위
상환,빌린 돈이나 낸 돈을 갚는 것
환율,다른 나라 돈과 우리 돈을 바꿀 때 적용하는 비율
무통장입금,통장 없이 입금할 수 있는 방법
은행명,통장이 개설된 은행 이름
직불카드,체크카드와 같은 의미로 돈이 바로 빠지는 카드
대출한도,빌릴 수 있는 최대 금액
납입일,돈을 내기로 한 날짜
자동이체,매달 정해진 날짜에 돈을 자동으로 보내는 것
결제,물건값이나 요금을 내는 것
물적 담보,집이나 땅 등 실물 자산을 담보로 잡는 것
고정금리,계약 기간 동안 변하지 않는 이자율
신청,서비스나 상품을 이용하겠다고 알리는 것
보험료,보험을 유지하기 위해 내는 돈
출금은행,돈이 빠져나가는 은행
출금확인,돈이 잘 빠져나갔는지 확인하는 것
거치식상환방식,만기 때 한 번에 원금을 갚는 방법
이자,돈을 맡겼을 때 은행이 주는 감사비(돈)
신용거래 융자,주식 등 거래할 때 빌려 쓰는 돈
연대보증,다른 사람이 못 갚으면 대신 갚아 주는 보증
통장사본,내 계좌 정보를 보여 주는 종이 또는 PDF 문서
거래내역,내 계좌에서 무슨 거래가 있었는지 기록된 목록
공인인증서(공동인증서),인터넷뱅킹에서 본인 확인용 전자 증명서
담보,돈을 빌릴 때 맡기는 물건이나 자산
납입금액,내기로 한 돈의 액수
이체한도,한 번이나 하루에 보낼 수 있는 최대 금액
취급수수료,은행 서비스 제공 대가로 받는 수수료
원금,처음에 넣거나 빌린 실제 돈
외화환전,원화를 다른 나라 돈으로 바꾸는 것
이자율,이자의 비율을 백분율로 나타낸 것
정기적금,매달 일정 금액을 넣고 모아두는 예금
승인번호,승인되었을 때 부여되는 번호
원리금,원금에 이자까지 합친 돈
ATM,은행 금고처럼 돈을 입금·출금할 수 있는 기계
받는사람,돈을 받는 사람의 이름
대출,은행에서 돈을 빌려 쓴 뒤 나중에 갚는 것
담보대출,담보를 맡기고 빌리는 대출
인터넷뱅킹,컴퓨터로 은행 서비스를 이용하는 것
앵커리스크,금융 거래에서 예상치 못한 위험 요소
계좌이체,통장에서 다른 통장으로 돈을 보내는 것
만기,정해진 기간이 끝나는 날
채무자,빚을 진 사람
계좌삭제,등록된 계좌를 시스템에서 지우는 것
문의하기,무언가를 물어보는 것
금리리스크,금리가 올라서 이자 부담이 늘어날 위험
가맹점수수료,가게 주인이 카드결제할 때 내는 은행 수수료
확인,내용을 다시 한 번 점검하거나 보는 것
수취인,돈이나 물건을 받는 사람
이용한도,사용할 수 있는 최대 금액
대출채권 연체기준,대출이 연체로 인정되는 날짜와 조건
입금확인,돈이 잘 들어왔는지 확인하는 것
전화금융사기 [Voice Phishing],전화로 속여 돈을 빼는 사기
상환일,대출금을 갚아야 하는 날
청구금액,내야 할 돈의 총액
보이스피싱,전화로 속여 돈을 빼가는 사기
담보권,담보를 가진 사람이 돈을 못 받을 때 가지는 권리
청구서,돈을 내라는 내용을 적은 문서
자동출금,정해진 날짜에 자동으로 돈이 빠져나가는 것
공과금,전기·수도·가스 등 매달 내야 하는 공적인 요금
계좌등록,새로운 계좌를 시스템에 저장하는 것
단기금리,짧은 기간 동안 적용되는 이자율
이자소득,예금이나 투자로 번 이자 수익
승인,카드나 거래가 정상적으로 허락된 것
상환금액,갚아야 하는 돈의 양
담보인정비율,담보로 잡힌 물건의 가치 인정비율
대환대출,다른 대출을 갈아타는 대출
신청내역,신청한 내용의 기록
모바일뱅킹,휴대전화로 은행 서비스를 이용하는 것
체크카드,내 돈만 쓸 수 있는 카드
한도초과,정해진 최대 금액을 넘은 상태
해지,서비스를 중단하거나 종료하는 것
예금,은행에 돈을 맡겨두고 이자를 받는 것
거치기간,이자를 내지 않고 원금만 맡기는 기간
연체,돈을 정해진 날까지 못 갚는 상태
적금,매달 조금씩 돈을 모아 만기에 돌려받는 저축
분할상환,돈을 여러 번 나눠서 갚는 방식
정기예금,일정 기간 동안 돈을 맡기고 이자를 받는 예금
거래일시,돈을 보낸 날짜와 시간이 적혀 있어요
통합조회,여러 계좌나 내용을 한 번에 확인하는 것
할부금융,물건 값을 나눠서 내는 금융 서비스
변경,기존 내용을 바꾸는 것
원리금균등분할상환방식,원금과 이자를 매달 같은 금액으로 갚는 방법
할부금상환방법,나누어 갚는 방식
집단대출,여러 사람이 함께 빌리는 대출
취소,이미 한 행동을 없던 일로 만드는 것
서비스이용내역,어떤 기능을 사용했는지의 기록
한도,쓸 수 있거나 빌릴 수 있는 최대 금액
대출모집인(대출상담사),대출을 안내해 주는 은행 직원 또는 대리인
신용회복지원제도 [Credit Recovery Support Procedures],빚 갚기 어려울 때 도움 주는 제도
적용금리,지금 적용되는 이자율
잔액,계좌에 남아 있는 돈
이체수수료,돈 보낼 때 내야 하는 비용이에요
잔액부족,통장에 남은 돈이 부족한 상태
